Sample,CSA,R1,R2,Imin,Imax,Zpol,Ratio,J
AML,66.498,4.855,5.448,620.999,488.477,196.813,1.271296294,1109.476
AML,65.103,5.124,5.702,692.346,560.219,210.01,1.235848838,1252.565
AML,82.407,6.254,7.18,1369.355,1089.577,336.887,1.256776712,2458.932
AML,72.342,5.183,5.846,780.609,609.994,228.513,1.279699472,1390.603
AML,64.009,4.972,5.441,558.238,494.056,188.175,1.12990835,1052.294
AML,72.665,5.468,6.204,820.948,634.294,219.688,1.29427048,1455.242
AML,54.044,4.794,5.576,494.327,383.022,154.091,1.290596885,877.349
AML,67.157,5.127,5.884,747.869,519.13,204.932,1.440619883,1266.999
AML,76.986,5.452,5.965,891.605,715.859,255.64,1.245503654,1607.464
AML,82.148,5.542,6.226,944.924,760.44,265.621,1.242601652,1705.364
AML,68.977,5.172,5.898,743.857,583.843,218.616,1.274070255,1327.7
AML,89.929,5.782,6.142,1046.12,941.023,303.764,1.111683774,1987.143
AML,76.025,5.301,5.951,824.381,671.244,243.778,1.228139097,1495.625
AML,94.434,6.007,6.777,1384.336,1101.241,358.332,1.25706907,2485.577
AML,79.379,5.679,6.168,931.908,802.796,274.534,1.160827906,1734.704
AML,65.923,4.984,5.702,610.534,498.747,189.345,1.224135684,1109.281
AML,95.142,5.678,6.337,1078.709,866.942,295.151,1.244268936,1945.651
AML,85.239,5.489,6.045,1038.226,825.677,286.629,1.257423908,1863.903
AML,82.78,5.397,6.08,951.614,754.7,272.267,1.260916921,1706.314
AML,94.499,5.827,6.701,1272.774,972.695,326.784,1.308502665,2245.469
AML,99.155,5.938,6.356,1138.28,1013.173,329.184,1.123480393,2151.453
AML,100.502,5.702,6.702,1178.883,885.043,303.872,1.332006467,2063.926
AML,97.865,5.971,6.501,1222.793,1020.372,334.637,1.198379611,2243.165
AML,96.284,5.81,6.333,1111.49,925.351,316.964,1.201155021,2036.841
AML,84.96,5.658,5.955,931.842,860.399,284.985,1.083034732,1792.241
AML,75.865,5.159,5.933,775.147,628.358,232.059,1.233607275,1403.505
AML,61.024,5.284,5.676,667.701,595.197,211.023,1.12181513,1262.898
AML,57.53,4.979,5.505,616.656,506.491,193.499,1.217506333,1123.147
AML,83.449,5.636,6.498,1063.46,835.078,287.596,1.27348583,1898.538
AML,70.781,4.936,5.588,650.034,517.616,205.843,1.255822849,1167.65
AML,86.093,5.71,6.262,1090.559,882.572,291.89,1.235660093,1973.131
AML,90.43,5.952,6.569,1229.666,977.61,322.427,1.257828787,2207.276
AML,94.647,5.668,6.439,1075.703,847.619,290.255,1.26908788,1923.322
AML,104.678,6.021,6.704,1325.181,1076.448,348.039,1.231068291,2401.629
AML,101.682,6.087,6.888,1292.075,1070.703,336.452,1.20675388,2362.778
AML,93.023,5.617,6.536,1270.721,922.923,321.818,1.376844005,2193.644
AML,77.899,5.493,6.013,916.158,747.485,262.106,1.225654027,1663.643
AML,101.045,5.487,6.642,1408.368,944.943,339.376,1.490426407,2353.311
AML,98.51,6.201,7.128,1512.467,1105.597,356.764,1.36800932,2618.064
UCL,72.442,5.437,5.922,772.506,648.439,228.933,1.191331798,1420.945
UCL,65.073,4.776,5.513,535.467,419.077,164.95,1.277729391,954.544
UCL,61.951,4.94,5.58,596.291,471.451,182.692,1.264799523,1067.742
UCL,53.551,4.724,5.281,459.785,373.264,152.949,1.231795726,833.049
UCL,56.502,4.56,6.143,762.963,397.733,180.731,1.918279348,1160.696
UCL,65.118,5.188,5.548,607.684,554.368,200.252,1.096174382,1162.052
UCL,58.344,4.949,5.308,565.328,480.045,178.458,1.177656261,1045.373
UCL,59.197,5.053,5.512,549.514,472.379,180.619,1.163290493,1021.893
UCL,57.748,4.605,5.174,501.32,386.305,166.097,1.297731067,887.625
UCL,49.831,4.544,5.072,422.242,327.485,144.483,1.289347604,749.727
UCL,61.349,4.779,5.586,599.258,424.717,177.348,1.410958356,1023.975
UCL,85.84,5.559,5.932,902.933,784.116,275.789,1.151529876,1687.049
UCL,61.698,4.579,5.327,523.923,392.209,168.734,1.335826052,916.132
UCL,57.316,4.905,5.446,489.564,416.26,162.143,1.176101475,905.824
UCL,67.291,4.965,5.645,683.952,505.223,202.447,1.353762596,1189.175
UCL-NR,67.308,4.916,5.771,711.629,485.998,200.127,1.464263227,1197.627
UCL-NR,66.206,4.94,5.471,574.614,457.932,184.933,1.254802023,1032.546
UCL-NR,68.232,4.886,5.402,587.845,465.801,188.996,1.262008884,1053.646
UCL-NR,72.826,4.824,7.356,1245.086,502.743,231.275,2.476585452,1747.829
UCL-NR,56.063,4.745,6.154,726.586,429.3,181.081,1.6924901,1155.886
UCL-NR,54.755,4.582,6.276,718.291,368.656,164.065,1.948404475,1086.947
UCL-NR,58.4,4.845,6.142,714.45,446.155,177.836,1.601349307,1160.605
Turkey,90.03,6.213,7.534,1835.994,1133.401,359.702,1.619897988,2969.395
Turkey,101.428,5.507,8.289,2475.894,1016.26,408.708,2.436280086,3492.154
Turkey,99.398,6.188,7.562,1935.042,1111.874,357.716,1.740342881,3046.916